"","state","stab","year","congress","emp.10","emp.211","emp.486","emp.2121","emp.2212","emp.213111","emp.213112","emp.213113","emp.221112","cd_code","congressionaldistrict"
"1","01","AL",2003,108,243013.0831,401,105,0,0,0,65,0,0,"01","AL 1"
"2","01","AL",2004,108,245032.8508,318,93,0,0,0,131,0,0,"01","AL 1"
"3","01","AL",2005,109,253334.0571,330,107,0,28,0,128,0,0,"01","AL 1"
"4","01","AL",2006,109,259705.3346,0,153,0,33,0,71,0,0,"01","AL 1"
"5","01","AL",2007,110,266703.7595,0,155,0,31,0,90,0,0,"01","AL 1"
"6","01","AL",2008,110,267114.1041,0,160,0,0,0,139,0,0,"01","AL 1"
"7","01","AL",2009,111,251988.2762,341,156,0,0,0,141,0,0,"01","AL 1"
"8","01","AL",2010,111,250952.6952,333,168,0,0,0,3,0,0,"01","AL 1"
"9","01","AL",2003,108,246569.5505,0,0,0,0,0,0,0,0,"02","AL 2"
"10","01","AL",2004,108,250175.6125,0,0,0,0,0,0,0,0,"02","AL 2"
"11","01","AL",2005,109,255783.227,0,0,0,0,0,0,0,0,"02","AL 2"
"12","01","AL",2006,109,260579.45,0,0,0,0,0,0,0,0,"02","AL 2"
"13","01","AL",2007,110,264260.554,0,0,0,0,0,0,0,0,"02","AL 2"
"14","01","AL",2008,110,260823.5445,0,0,0,0,0,0,0,0,"02","AL 2"
"15","01","AL",2009,111,248626.714,0,0,0,0,0,0,0,0,"02","AL 2"
"16","01","AL",2010,111,246531.5325,0,0,0,0,0,0,0,0,"02","AL 2"
"17","01","AL",2003,108,232351.6319,0,0,0,0,0,0,0,0,"03","AL 3"
"18","01","AL",2004,108,239320.8243,0,0,0,0,0,0,0,0,"03","AL 3"
"19","01","AL",2005,109,245748.5858,0,0,0,0,0,0,0,0,"03","AL 3"
"20","01","AL",2006,109,247605.718,0,0,0,0,0,0,0,0,"03","AL 3"
"21","01","AL",2007,110,249467.7564,0,0,0,0,0,0,0,0,"03","AL 3"
"22","01","AL",2008,110,244815.0203,0,0,0,0,0,0,0,0,"03","AL 3"
"23","01","AL",2009,111,230624.2252,0,0,0,0,0,0,0,0,"03","AL 3"
"24","01","AL",2010,111,226961.1923,0,0,0,0,0,0,0,0,"03","AL 3"
"25","01","AL",2003,108,208908.641,0,0,305,74,0,10,0,0,"04","AL 4"
"26","01","AL",2004,108,212505.9946,0,0,331,76,0,0,0,0,"04","AL 4"
"27","01","AL",2005,109,216499.2222,0,0,389,74,0,0,0,0,"04","AL 4"
"28","01","AL",2006,109,218880.7332,0,0,462,74,0,62,0,0,"04","AL 4"
"29","01","AL",2007,110,217059.047,0,0,524,73,0,60,0,0,"04","AL 4"
"30","01","AL",2008,110,214313.4862,0,0,604,78,0,57,0,0,"04","AL 4"
